Name,Age,Income,Email,Category,Date,Text
Darlene Yu,23,95424.73386,ehernandez@example.com,B,12/30/1979,Nor economy local feel.
Michael Clark,34,14597.2805,wheelercynthia@example.net,B,,Question difficult bit case spend decade discussion join.
Kyle Norton,37,45431.07541,stephanie00@example.com,C,7/29/1962,Example thank wonder.
April Garza,58,18111.35265,colemark@example.org,A,8/5/1979,Quality off network until.
Melanie Perez,53,45097.56301,Unknown,B,3/5/1971,Deep hundred whole thus.
John Torres,25,86895.04384,coxbrian@example.net,B,12/12/1952,
Tyler Powers,150,24147.65641,emily50@example.net,D,8/12/1960,Win system enter become list most.
Alexander Dennis,48,32265.71652,stevenschase@example.com,A,11/1/1960,Agent garden rock happy old.
Jody Phillips,18,70057.13582,rbaker@example.net,A,8/30/1958,House walk raise hour.
Christopher Santiago,60,19335.37458,qjones@example.net,B,8/4/1977,Stand size learn perhaps whose.
Sandy Chavez,19,39897.634,kelseylong@example.com,B,12/3/2000,Age dog artist.
Chad Jenkins,63,31687.25498,michaelcarpenter@example.com,B,12/29/1986,Mission bank have receive theory officer toward give.
Kimberly Snyder,70,93487.06684,micheal67@example.net,C,1/3/1951,Loss nor knowledge.
Sharon Lewis,59,57922.89466,rachel78@example.org,B,3/22/1947,Statement traditional present.
Daniel Dougherty,22,12318.45126,ysullivan@example.com,C,12/27/1962,Fire seem argue late yet say.
Anthony Johns,78,69771.15458,Unknown,C,10/21/1960,Seem animal top sing type learn kind.
Amber Wiley,62,-5000,cmyers@example.org,B,7/21/1959,
Matthew Mcintyre,36,57343.23305,johnford@example.com,C,3/6/1947,Talk speak yourself.
Daniel Hernandez,44,16546.2478,hobbsdonna@example.com,A,11/13/1954,Receive tell resource music enjoy executive.
Peter Atkins,68,-5000,Unknown,D,8/22/1978,Personal degree culture education read matter up.
Christopher Harmon,150,66807.24035,wjackson@example.org,A,9/26/1979,Range PM in central fact.
Christopher Martinez,20,87768.08403,tmorton@example.net,C,3/6/1984,Exist knowledge technology color her.
Sarah Collier,35,34460.77983,vanessamejia@example.org,B,12/9/1991,Wish think property however heavy direction.
Amanda Diaz,49,42521.90823,elizabethtorres@example.org,C,1/23/1978,Protect leg say fear might exist.
Michael Crawford,59,65155.90873,mercerlauren@example.org,A,7/29/1962,Often firm military bar foreign material.
Tara Collins,66,19705.48996,carlsonkimberly@example.org,C,5/16/1948,Try rise reason go enter author whole.
Keith Ruiz,38,54020.88678,Unknown,C,11/23/1948,Writer data our data fund.
Julie Reed,64,44154.3465,veronicabean@example.com,A,2/28/1975,Cup member kind moment front listen because.
Alan Ellis,60,87525.14871,todd36@example.org,C,8/5/1948,Peace policy look event ever entire medical.
Eugene Smith,60,46228.8535,ucochran@example.net,A,7/28/1998,For face somebody edge soon anything believe.
Charles Allen,57,11807.06269,uwest@example.org,B,9/29/1987,Month middle almost analysis red old office.
Jon Patterson,31,80414.40887,tiffanywilcox@example.org,C,7/6/1949,Knowledge recognize each.
Rebecca Zuniga,26,-5000,gibsondavid@example.net,B,6/17/1989,Understand term performance mention mouth pay.
Kevin Warren,72,25404.77916,hjones@example.com,A,6/13/1972,Able relationship onto by look.
Emily Powers,47,30319.74241,ijones@example.net,C,3/1/1974,All might sister record century because environmental election.
Robert Medina,19,82835.97598,michael60@example.org,A,10/9/1953,Near toward appear.
Dennis Bell,50,-5000,vsmith@example.net,C,4/6/1951,Side represent strategy author yeah learn.
Ann Richardson,70,58787.70362,jacobdaniel@example.org,D,,Eye really provide north shake media.
Teresa Wright,35,73786.14778,bobby62@example.com,A,2/20/1971,Director structure phone view how court institution.
Ricky Hayes,60,85119.59254,wmcdowell@example.com,D,9/2/1948,Decade spring seat wrong require force.
William Sheppard,29,79531.53901,justin41@example.com,B,,Us sometimes again full bit.
Alyssa Brown,31,73224.29833,rebecca13@example.com,B,8/26/1973,Would simple special common until.
Matthew Moss II,47,88806.94213,patricialane@example.com,C,5/27/1999,Long vote analysis million little natural citizen.
Andrew Freeman,36,83278.19394,cynthia97@example.org,B,2/22/1992,Night want type between color why keep.
Jennifer Wood,-5,93292.23442,jodicastillo@example.org,B,1/27/1975,Score political technology hit without for.
Jon Howard Jr.,37,87079.22672,jodywang@example.com,A,9/5/1979,Behind pretty seven some development possible finish.
Carrie Wilson,80,86367.0939,jacobchavez@example.net,B,,Against view black serve college live trade.
